code,date,comments,likes,caption,image
BK-LuV6ArPX,1475220333,6,519,"Ak by ste sa chceli zapojiť do súťaže o nového Harry Pottera, tak hor sa na náš Facebook! Ale pozor, súťažíme len do dvanástej 🙄 #martinus #martinussk #knihy #kniha #citam #pravecitam #cocitat #viaccasunacitanie #dnescitam #harrypotter #novyharrypotter #novyharry #sutaz",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/14374348_1099145890200902_65153210771308544_n.jpg?ig_cache_key=MTM1MDU2ODUwMTM4NzExMzQzMQ%3D%3D.2.c
BK73KqFgtmh,1475142446,4,336,"Kto si ešte dnes do 15:00 predobjedná nového Harryho Pottera, ten ho bude môcť čítať už zajtra! :-) Navyše vám k nemu pribalíme túto limitovanú edíciu MAG(net)ICKEJ záložky. Tak neváhajte a objednávajte, link nájdete v profile :-)
PS: Platí to aj pre všetky doterajšie predobjednávky 😊#martinus #martinussk #knihy #kniha #citam #pravecitam #cocitat #viaccasunacitanie #dnescitam #harrypotter #novyharrypotter #novyharry",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14474013_307976622903637_1830163883554242560_n.jpg?ig_cache_key=MTM0OTkxNTEzODI3MDA5MTY4MQ%3D%3D.2
BK5EpQCgIQm,1475048849,0,175,"Ak ste čítali Dievča vo vlaku, určite si nenechajte ujsť triler Vdova, ktorý sa stal bestsellerom New York Times! 🔪🔪🔪 #tipnaknihu #knihy #martinussk #knihomoli #vdova #fionabarton #slovart_vyd",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14350600_1791976511017518_6793884100374560768_n.jpg?ig_cache_key=MTM0OTEyOTk5MDI4MDYxMDg1NA%3D%3D.2
BKqeHcbgDw4,1474558887,3,198,Takto sa tešíme na nový príbeh Harryho Holeho!!! #jonesbo #harryhole #martinussk #hura,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/e15/14374422_1793760774176407_324351407593357312_n.jpg?ig_cache_key=MTM0NTAxOTg5MTY4MTM0NDU2OA%3D%3D.2
BKpuK9-g9N3,1474533750,4,225,"Aká je vaša obľúbená jesenná kniha? Čo takto feel-good román o knihách, priateľstve a láske? 📖 #tipnaknihu #knihy #martinussk #ctenarizbrokenwheeldoporucuji #feelgoodliterature",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14279022_323481578002083_2764583290663862272_n.jpg?ig_cache_key=MTM0NDgwOTAyNzYyODE1OTg2Mw%3D%3D.2
BKiIS4mAWze,1474279011,0,185,"Kombinácia básnik Tomáš Janovic a ilustrátorka Mária Nerádová je taká skvelá, že si želáme byť opäť deťmi, aby sme mohli čítať túto čarovnú knihu! 📖✨ #tipnaknihu #knihy #detskeknihy #martinussk #tomasjanovic #marianeradova #zazmurocka #buvik",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14334398_235187610212822_110315433_n.jpg?ig_cache_key=MTM0MjY3MjEyMDk5OTY2ODk1OA%3D%3D.2
BKbCu9cgCFv,1474041214,0,191,"Pohodlne sa usaďte, začíname víkend! Ak ho chcete tráviť s dobrou knihou, odporúčame napríklad tohto nového Baricca od @slovart_vyd 👌📖 Krásna kniha, poetická a magická, veľkosťou vhodná aj do kabelky 😊 #vikend #viaccasunacitanie #tipnaknihu #knihy #martinussk #knihomoli #slovart_vyd #alesandrobaricco #mladanevesta",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.809.809/14294983_1866091130281416_489670474_n.jpg?ig_cache_key=MTM0MDY3NzMzNzIzODIxNzA3MQ%3D%3D.2.c
BKYTrF9Ac3p,1473949432,0,223,"Ako si užívate dnešný horúci voľný deň? Veríme, že minimálne tak, ako si Lucka užívala chvíle s touto knihou 📖☀️ #citamsmartinusom #viaccasunacitanie #martinussk #volnyden #knihy #knihomoli",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14280381_1256666544358111_2009452006_n.jpg?ig_cache_key=MTMzOTkwNzQxMzM1NjE3MDcyOQ%3D%3D.2
BKLAAzhA7yh,1473502917,0,340,Ako si užívate víkend? 📖☕️ #vikend #viaccasunacitanie #martinussk #knihy #knihomoli #knihaakava,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14156442_1099289100151297_497430665_n.jpg?ig_cache_key=MTMzNjE2MTc2OTc2MDIxMDA4MQ%3D%3D.2
BKFmjD5g_RS,1473321793,13,409,Už len 22 dní a vy budete mocť držať v rukách slovenské vydanie nového Pottera. Kto sa teší tak ako my? 🙋💫✨ #martinussk #harrypotter #harrypotterforever #harrypotteraprekliatedieta #harrypotterandthecursedchild #jkrowling,https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c181.0.718.718/14240959_696572727173031_2056884550_n.jpg?ig_cache_key=MTMzNDY0MjM5OTcyMDUwMjM1NA%3D%3D.2.c
BKAcYOMgOA6,1473148690,3,245,"Vynikajúce foodblogerky @stvoryzkuchyne a @thestoryofacake majú knihu! Príbehy z kuchyne sú plné parádnych receptov a krásnych fotiek a nekúpite ich nikde, len exkluzívne v našich kníhkupectvách a na www.martinus.sk 📖 #tipnaknihu #kucharskakniha #martinussk #stvoryzkuchyne #thestoryofacake #pribehyzkuchyne",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/14156564_1171099689620977_329254559_n.jpg?ig_cache_key=MTMzMzE5MDI5OTUxMzU3NzUzMA%3D%3D.2
BJxS_ohA_Xs,1472640453,6,278,"Alie zo @susienkovo zobrala Deň neprečítaných kníh naozaj poctivo! A tak sa nám to páči 😊 Pridaj sa aj ty! Stačí, ak uverejníš fotku, ako tráviš tento sviatok spolu s hashtagom #dnk2016 a si v hre o knižné poukážky! Viac informácií na linku v profile. #martinus #martinussk #knihy #kniha #citam #pravecitam #cocitat #viaccasunacitanie #dnescitam #denneprecitanychknih #dnk",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/e35/c133.0.533.533/14134800_1583012828669847_1749510746_n.jpg?ig_cache_key=MTMyODkyNjkwMjcxODgyMTg2OA%3D%3D.2.c
BJw32jAgTnG,1472626223,1,508,"Dnes a len dnes je Deň neprečítaných kníh! Odfoť, ako tráviš tento deň, uverejni fotku s hashtagom #dnk2016 a si v hre o knižné poukážky. Aj neprečítané knihy si zaslúžia svoj deň, no nie? 😊 #martinus #martinussk #knihy #kniha #citam #pravecitam #cocitat #viaccasunacitanie #dnescitam #denneprecitanychknih #dnk #dnk2016",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/14063245_1712524562345010_355431771_n.jpg?ig_cache_key=MTMyODgwNzUzMTA3MzU4MzU1OA%3D%3D.2.c
BJu4uUWgwa2,1472559571,0,243,"Už zajtra spolu oslavujeme Deň neprečítaných kníh! Tak dúfame, že už máte vybranú knihu, ktorej dáte zajtra šancu 😊 A ak chcete vedieť, aký má vzťah k neprečítaným knihám Sajfa, tak link na jeho video nájdete v profile. Tešíme sa! #kniha #knihy #martinus #martinussk #tipnaknihu #pravecitam #cocitat #viaccasunacitanie #dnescitam #denneprecitanychknih #dnk #dnk2016",https://scontent-fra3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/14099568_112305942557406_486763019_n.jpg?ig_cache_key=MTMyODI0ODQxMzY3Mzk0ODg1NA%3D%3D.2.c
